Function_ID,Parameter_Cost_Driver,Rate_Card_Entry,Calculation,Cost_Type,Example
F0,Material Purchase,Walnut Lumber Rate,(L × W) × $0.52/in,Direct Material,$90.00 for 216"
F0,Transport/Logistics,Mileage Rate,Round-trip × $0.67/mi,Direct OPEX,$20.00 for 30 mi
F0,Makerspace Access,Monthly Membership,Fixed ÷ batches/month,Overhead,$50/batch
F0,Stock milling,External facility,Per-board fee,Direct OPEX,$25.00/board
F2,Cutting duration,Laser Rate,Duration × $0.10/hr,Equipment,$0.02 for 12 min
F2,L × W × H dimensions,Walnut Rate,Area × $0.52/inch,Material,$4.16 for 8 ribs
F2,Setup labor,Founder Rate,Duration × $50/hr,Labor,$10.00 for 12 min
F2,Laser power consumption,Electricity,40W × dur × $0.14/kWh,Energy,$0.03
F2.9,Keystone_Start → Stop,Carvera CNC Rate,Duration × $0.50/hr,Equipment,$1.25 for 2.5 hr
F2.9,Total_Keystone_Time,Founder Rate,Duration × $50/hr,Labor,$125.00 for 2.5 hr
F2.9,Keystone material (2/orn),Walnut Dowel Rate,Dowel × $0.52/inch,Material,$5.20 for 10"
F2.9,CNC operation,Electricity,CNC × dur × $0.14/kWh,Energy,$0.07 for 2.5 hr
F3,Water_Mass_Initial_g,Distilled Water,Mass ÷ 1000 × $1.69/L,Material,$0.42 for 250g
F3,Total_Soak_Time,Founder Rate,Duration × $50/hr,Labor,$2.50 for 3 min
F3,Water heating,Electricity,Heat energy × $0.14/kWh,Energy,$0.08 (ΔT=70°C)
F3,Soak container,Equip overhead,Negligible,Equipment,<$0.01
F4,Total_Steam_Time,Steamer Rate,Duration × $0.12/hr,Equipment,$0.06 for 30 min
F4,Steam duration,Founder Rate,Duration × $50/hr,Labor,$25.00 for 30 min
F4,Transfer_Time_sec,Founder Rate,(Sec ÷ 3600) × $50/hr,Labor,$0.35 for 25 sec/rib
F4,Steamer power,Electricity,1500W × dur × $0.14/kWh,Energy,$0.11 for 30 min
F5,Form_ID,3D Printer Rate,Fab × $0.10/hr ÷ uses,Equipment,$0.03 ($3÷100)
F5,Clamp_ID,Hardware deprec.,Cost ÷ 500 uses,Tooling,$0.05 ($25÷500)
F5,Air drying (36 hrs),No equipment cost,Passive curing,N/A,$0.00
F5,Edge refinement,Router + Labor,(5min×$0.06)+(5min×$50),Equip+Labor,$4.17/rib
F6,Inspection (~5 min/rib),Founder Rate,Duration × $50/hr,Labor,$4.17 per rib
F6,Manual_Form_Fit_Validation,Founder Rate,1 min × $50/hr,Labor,$0.83 per test
F6,Caliper tools,Tool deprec.,Cost ÷ 1000 uses,Tooling,$0.05
F6,Spring-back gauge,Gauge deprec.,Gauge ÷ 500 uses,Tooling,$0.10
F7.1,Total_Shellac_Mix_Mass,Shellac Rate,Mass × $0.09/g,Material,$22.50 for 250g
F7.1,Shellac dissolution,IPA Rate,Volume × $0.015/mL,Material,$3.75 for 250 mL
F7.1,Total_Shellac_Mix_Time,Founder Rate,Duration × $50/hr,Labor,$12.50 for 15 min
F7.1,Shellac_Mix_ID,Batch traceability,Total ÷ ribs coated,Overhead/rib,$0.65 (÷60 ribs)
F7.2,Final - Pre mass delta,Shellac Mix Rate,Consumed × $0.09/g,Material,$0.22 for 2.4g
F7.2,Total_Surface_Coat_Time,Founder Rate,Duration × $50/hr,Labor,$10.00 for 12 min
F7.2,Coat_Number (3 coats),Fixture deprec.,Fixture ÷ 1000 dips,Tooling,$0.03 (3×$0.01)
F7.2,Inter-coat sanding,Sandpaper + Labor,Material + time,Mat+Labor,$0.50/rib
F8,Assembly time (~10 min),Founder Rate,Duration × $50/hr,Labor,$8.33/ornament
F8,Adhesive_Type_Used,Contact Cement,Volume × $0.15/mL,Material,$0.30 for 2 mL
F8,Eyelet hardware,Hardware BOM,Per-unit cost,Material,$0.15/eyelet
F8,Charm attachment,Charm BOM cost,Variant-specific,Material,$2.00-$5.00
F9,Inspection activities,Founder Rate,Cumulative × $50/hr,Labor,Variable by gate
F9,Calibration equipment,Metrology deprec.,Equipment ÷ cycles,Metrology,$0.10/batch
F9,Hang test (14 days),Display fixture,Fixture ÷ 100 uses,Tooling,$0.20/ornament
F9,Drop test,Test procedure,Labor (30 sec) × $50/hr,Labor,$0.42 per test
F10,Traceability logging,Admin Rate,5 min × $30/hr,Admin Labor,$2.50/rib
F10,Deviation management,Admin Rate,Investigation × $30/hr,Admin Labor,Variable
F10,Software subscriptions,Innoslate license,Monthly ÷ units,Overhead,$0.50/rib
F10,Asset maintenance,Founder Rate,PM time × $50/hr,Maint Labor,By equipment
