Function_ID,V1_6_Voice_Parameter,Database_Field,Type,Cost_Driver,Voice_Prompt_Example,Notes
F0,Batch_ID,Batch_ID,String,No,"Batch ID: WSP-2025-047.",Exact match
F0,Wood_Type,Wood_Type,String,Yes,"Wood type: Black Walnut.",Exact match. Drives material rate.
F0,Moisture_Treatment,Moisture_Treatment,String,No,"Moisture treatment: Air dried.",Exact match
F0,Supplier_ID,Supplier_ID,String,No,"Supplier: Hearne Hardwoods.",V1.6 parameter
F0,Board_Feet_Purchased,Board_Feet_Purchased,Float,Yes,"Purchased 12 board feet.",V1.6 parameter
F0,,F0_Grain_Angle_Status,Boolean,No,,GAP: REC - Add to V1.6
F0,,F0_Pre_Soak_Length_mm,Float,Yes,,Exists as Length_mm in F2
F2,Serial_Number,Serial_ID,String,No,"Serial: WSP-2025-047-R01.",Name variant
F2,Cutting_Start_Time,F2_Cut_Start_DateTime,Timestamp,Yes,"Cutting start: 9:15 AM.",Name variant
F2,Cutting_Stop_Time,F2_Cut_Stop_DateTime,Timestamp,Yes,"Cutting stop: 9:27 AM.",Name variant
F2,LightBurn_File_Version,F2_LightBurn_File_Version,String,No,"LightBurn file: v2.3.",Prefix added in DB
F2,Length_mm,F2_Length_mm,Float,Yes,"Length: 200 mm.",Material cost calc
F2,Width_mm,F2_Width_mm,Float,Yes,"Width: 20.1 mm.",Material cost calc
F2,Height_mm,F2_Height_mm,Float,Yes,"Height: 3.2 mm.",Material cost calc
F2,Edge_Smooth_Status,F2_Edge_Smoothed_Flag,Boolean,No,"Edge smoothed: Yes.",Name variant
F2,,F2_Defect_Flag,Boolean,No,,GAP: REC - Defect tracking
F2,,F2_Cut_Total_Time_min,Duration,Yes,,CALC: Stop - Start
F2,,F2_Surface_Area_mm2,Float,Yes,,CALC: L × W
F2.9,Keystone_Start_Time,F8_Keystone_Start_DateTime,Timestamp,Yes,"Keystone start: 10:00 AM.",F8 prefix in 73-list
F2.9,Keystone_Stop_Time,F8_Keystone_Stop_DateTime,Timestamp,Yes,"Keystone stop: 12:30 PM.",F8 prefix in 73-list
F2.9,Total_Keystone_Time,F8_Keystone_Total_Time_min,Duration,Yes,"Total: 2 hrs 30 min.",Drives $125 labor
F3,Soak_Start_Time,F3_Soak_Start_DateTime,Timestamp,Yes,"Soak start: 1:00 PM.",Name variant
F3,Soak_Stop_Time,F3_Soak_Stop_DateTime,Timestamp,Yes,"Soak stop: 1:45 PM.",Name variant
F3,Total_Soak_Time,F3_Soak_Total_Time_min,Duration,Yes,"Total soak: 45 min.",Labor cost allocation
F3,Water_Temp_Initial_C,F3_Water_Temp_Initial_C,Float,Yes,"Water temp: 91°C.",Energy calc
F3,Water_Mass_Initial_g,,Float,Yes,"Water mass: 250g.",V1.6 ONLY: Add to DB
F3,,F3_Post_Soak_Moisture_%,Float,No,,GAP: HIGH - Process ctrl
F3,,F3_Warp_Check_Flag,Boolean,No,,GAP: REC - Defect track
F4,Steam_Start_Time,F4_Steam_Start_DateTime,Timestamp,Yes,"Steam start: 2:00 PM.",Name variant
F4,Steam_Stop_Time,F4_Steam_Stop_DateTime,Timestamp,Yes,"Steam stop: 2:30 PM.",Name variant
F4,Total_Steam_Time,F4_Steam_Total_Time_min,Duration,Yes,"Total steam: 30 min.",Steamer + labor
F4,Steam_Temp_C,F4_Steam_Temp_C,Float,No,"Steam temp: 100°C.",Name variant
F4,Transfer_Time_sec,F4_Transfer_Time_sec,Integer,Yes,"Transfer: 25 sec.",Exact. <30s critical.
F4,,F4_Post_Steam_Moisture_%,Float,No,,GAP: HIGH - Process ctrl
F5,Form_ID,F5_Form_ID,String,Yes,"Form ID: FORM-A-001.",Jig depreciation
F5,Clamp_ID,F5_Clamp_ID,String,Yes,"Clamp: CLAMP-SET-03.",Hardware deprec.
F5,Air_Dry_Start_Time,F5_Air_Dry_Start_DateTime,Time,No,"Air dry start: 2:35 PM.",Passive (no cost)
F5,Air_Dry_Stop_Time,F5_Air_Dry_Stop_DateTime,Time,No,"Air dry stop: next day.",Name variant
F5,Sub_Batch,,String,Yes,"Sub-batch: A.",V1.6 ONLY: Add to DB
F5,Ambient_Humidity_%,F5_Ambient_Humidity_%,Float,No,"Humidity: 45%.",Exact match
F5,Spring_Back_%,F5_Spring_Back_%,Float,No,"Spring-back: 3.2%.",Exact match
F5,,F5_Post_Dry_Moisture_%,Float,No,,GAP: HIGH - Process ctrl
F5,,F5_Alignment_Check_Flag,Boolean,No,,GAP: REC - Defect track
F6,Post_Dry_Length_mm,,Float,No,"Post-dry length: 198.5mm.",V1.6 ONLY: Add to DB
F6,Manual_Form_Fit_Validation,F6_Keystone_Fit_Test_Result,Boolean,Yes,"Form-fit: Pass.",Name variant
F6,Disposition_Status,F6_Disposition_Status,String,No,"Disposition: Accept.",Name variant
F6,,F6_Inspection_Start_DateTime,Timestamp,Yes,,GAP: REC - Labor costing
F6,,F6_Surface_Defect_Count,Integer,No,,GAP: REC - DPMO calc
F7,Shellac_Mix_ID,,String,Yes,"Mix ID: MIX-2025-012.",V1.6 ONLY: Add to DB
F7,Pre_Coat_Mass_g,,Float,Yes,"Pre-coat: 12.3g.",V1.6 ONLY: Add to DB
F7,Coat_Number,F7_Number_Of_Coats,Integer,Yes,"Coat number: 2.",Name variant
F7,Total_Surface_Coat_Time,F7_Coat_Total_Time_min,Duration,Yes,"Coating time: 12 min.",Coating labor
F7,Final_Coated_Mass_g,F7_Final_Coated_Mass_g,Float,Yes,"Final mass: 14.7g.",Exact match
F7,,F7_Rework_Count,Integer,Yes,,GAP: REC - Quality metric
F7,,F7_Shellac_Mass_Used_g,Float,Yes,,GAP: REC - Direct costing
F8,Bond_Start_Time,F8_Bond_Start_DateTime,Time,Yes,"Bond start: 3:00 PM.",Name variant
F8,Adhesive_Type_Used,F8_Adhesive_Type_Used,String,Yes,"Adhesive: Contact cement.",Name variant
F8,Keystone_Alignment_Check,F8_Keystone_Alignment_Check,Boolean,No,"Alignment: Pass.",Name variant
F8,Charm_Variant,,String,Yes,"Charm: NYC skyline.",V1.6 ONLY: $2-$5
F8,,F8_Bond_Stop_DateTime,Timestamp,Yes,,GAP: REC - Labor costing
F9,Q4_Final_Result,F9_Final_QC_Result,String,No,"Q4 final: Pass.",Name variant
F9,Hang_Test_Result,,String,No,"Hang test: Pass 14 days.",V1.6 ONLY: Add to DB
F9,,F9_Final_QC_DateTime,Timestamp,No,,GAP: REC - Release time
F9,,F9_Final_Defect_Category,String,No,,GAP: REC - Defect class
F10,Deviation_ID,,String,Yes,"Deviation: DEV-2025-003.",V1.6 ONLY: Add to DB
F10,PM_Schedule_ID,,String,Yes,"PM: CNC monthly cal.",V1.6 ONLY: Add to DB
F10,,F10_Requirements_Baseline_ID,String,No,,GAP: HIGH - Config mgmt
F10,,F10_CAD_File_Version_ID,String,No,,GAP: HIGH - Design baseline
F10,,F10_Rate_Card_Version_ID,String,Yes,,GAP: HIGH - Cost baseline
